Naziv,Ulica,Okrug,Postanski Kod,Regija,Telefon,Fax,Sajt,Koordinate
/,/,/,0,/,/,/,/,51.270283:7.193968
/,/,/,0,/,02027379277,02027379276,http://www.m-els.de/,51.245527:7.086972
/,/,/,0,/,0202702861,/,http://www.goehring-fenster.de,51.284817:7.219932
/,/,/,0,/,01626870904,/,http://www.dergartenhero.de,51.27585:7.256936
/,/,/,0,/,02027470407,/,/,51.235502:7.083782
/,/,/,0,/,020251989211,/,https://bei-giovanni.eatbu.com/?lang=de,51.237268:7.196929
/,/,/,0,/,02022834742,/,http://hatzfelder-kfzhandel.de,51.295485:7.202144
/,/,/,0,/,020270559216,/,https://www.hypnocoaching-haussmann.de,51.253838:7.134329
/,/,/,0,/,01722762328,/,https://de-de.facebook.com/RussenUmzug/,51.184731:7.269106
/,/,/,0,/,02022442200,02022442201,http://www.stb-thoelen.de/,51.267333:7.189226
/,/,/,0,/,020274771083,/,/,51.271411:7.220345
/,/,/,0,/,0202 7474888,0202 7474885,http://www.stausberg-versicherungen.com,51.228132:7.211779
/,/,/,0,/,0202 7582127,0202 7582908,http://www.hausverwaltung-oflaz.de,51.224392:7.070243
/,/,/,0,/,0202/275060,0202/2750620,http://www.glas-hoening.de,51.261007:7.124092
/,/,/,0,/,020262939528,/,http://www.zahnaerztewuppertal.com,51.259629:7.146017
/,/,/,0,/,02029782709,/,https://www.wolfgang-vollmer-bauelemente.de,51.279854:7.193061
/,/,/,0,/,020226563846,/,http://www.tischler-porde.de,51.276563:7.252731
/,/,/,0,/,017680564562,/,/,51.275468:7.220692
/,/,/,0,/,020269558977,020269558979,/,51.225438:7.151546
/,/,/,0,/,020251564020,0202515640240,https://gross-boelting.de/tobias-buechler/,51.231185:7.078155
/,/,/,0,/,01607275454,/,/,51.264002:7.193944
/,/,/,0,/,0202312616,0202306670,/,51.251451:7.134576
/,/,/,0,/,02022570884,/,/,51.294092:7.238799
/,/,/,0,/,020249666577,020249666577,/,51.258868:7.168414
/,/,/,0,/,02027471020,02027460260,http://www.autoteile-west.de,51.247344:7.097279
/,/,/,0,/,020229577044,/,/,51.268417:7.208653
/,/,/,0,/,0202622052,0202637724,/,51.270391:7.208336
